No,product_id,name,original_price,discount,sale_price,product_url,image_url
94,post-12353,"Spray Mop For Dry & Wet Clean","₨ 4,500",-29%,"₨ 3,200",https://ebuy.pk/product/spray-mop-dry-wet-clean/,https://ebuy.pk/wp-content/uploads/Spray-Mop-For-Dry-Wet-Clean-At-Best-Price-in-Pakistan-4-247x307.jpg
116,post-127023,"LED Mushroom Night Light",₨ 500,-30%,₨ 350,https://ebuy.pk/product/led-mushroom-night-light/,https://ebuy.pk/wp-content/uploads/LED-Mushroom-Night-Light-Online-In-Pakistan-247x307.jpg
57,post-127416,"Carbon Filter Stone Faucet",₨ 400,-30%,₨ 280,https://ebuy.pk/product/carbon-filter-stone-faucet/,https://ebuy.pk/wp-content/uploads/Carbon-Filter-Stone-Faucet-Online-In-Pakistan-247x307.jpg
121,post-128655,"Glow In The Dark Tape",₨ 550,-45%,₨ 300,https://ebuy.pk/product/glow-in-the-dark-tape/,https://ebuy.pk/wp-content/uploads/Glow-In-The-Dark-Tape-Online-Price-In-Pakistan-1-247x307.jpg
56,post-129530,"Wooden Bamboo Chopsticks",₨ 500,-32%,₨ 340,https://ebuy.pk/product/wooden-bamboo-chopsticks/,https://ebuy.pk/wp-content/uploads/Wooden-Bamboo-Chopsticks-Online-Price-In-Pakistan-247x307.jpg
55,post-129842,"Disposable Plastic Food Cover",₨ 800,-31%,₨ 550,https://ebuy.pk/product/disposable-plastic-food-cover/,https://ebuy.pk/wp-content/uploads/Disposable-Plastic-Food-Cover-Online-Best-Price-In-Pakistan-247x307.jpg
14,post-129948,"Nose Shaping Massage Roller",₨ 450,-38%,₨ 280,https://ebuy.pk/product/nose-shaping-massage-roller/,https://ebuy.pk/wp-content/uploads/Nose-Shaping-Massage-Roller-Online-Best-Price-In-Pakistan-247x307.jpg
2,post-129980,"2 in 1 Rechargeable Hair Trimmer","₨ 2,500",-40%,"₨ 1,500",https://ebuy.pk/product/2-in-1-rechargeable-hair-trimmer/,https://ebuy.pk/wp-content/uploads/2-in-1-Rechargeable-Hair-Trimmer-Online-Best-Price-In-Pakistan-247x307.jpg
54,post-130218,"Silicone Flower Shaped Tea Infuser",₨ 300,-33%,₨ 200,https://ebuy.pk/product/silicone-flower-shaped-tea-infuser/,https://ebuy.pk/wp-content/uploads/Silicone-Flower-Shaped-Tea-Infuser-Online-Price-In-Pakistan-247x307.jpg
53,post-130821,"LED Light Butterfly Sticker",₨ 120,-33%,₨ 80,https://ebuy.pk/product/led-light-butterfly-sticker/,https://ebuy.pk/wp-content/uploads/LED-Light-Butterfly-Sticker-Online-Best-Price-In-Pakistan-247x307.jpg
138,post-131922,"5 Finger Scalp Massager",₨ 300,-33%,₨ 200,https://ebuy.pk/product/5-finger-scalp-massager/,https://ebuy.pk/wp-content/uploads/5-Finger-Scalp-Massager-Online-Best-Price-In-Pakistan-247x307.jpg
108,post-135203,"3 in 1 Hot Air Brush","₨ 5,000",-36%,"₨ 3,200",https://ebuy.pk/product/3-in-1-hot-air-brush/,https://ebuy.pk/wp-content/uploads/3-in-1-Hot-Air-Brush-Hair-Dryer-Brush-Online-Best-Price-In-Pakistan-247x307.jpg
153,post-136812,"Wellice Anti-Hair Loss Onion Shampoo","₨ 1,000",-30%,₨ 700,https://ebuy.pk/product/wellice-anti-hair-loss-onion-shampoo/,https://ebuy.pk/wp-content/uploads/Wellice-Anti-Hair-Loss-Onion-Shampoo-Online-Price-In-Pakistan-247x307.jpg
52,post-136824,"Wall-Mounted Cactus Toothbrush Holder",₨ 250,-28%,₨ 180,https://ebuy.pk/product/wall-mounted-cactus-toothbrush-holder/,https://ebuy.pk/wp-content/uploads/Wall-Mounted-Cactus-Toothbrush-Holder-In-Pakistan-247x307.jpg
13,post-138287,"Flat Mouth Steel Eyebrow Tweezer",₨ 130,-54%,₨ 60,https://ebuy.pk/product/flat-mouth-steel-eyebrow-tweezer/,https://ebuy.pk/wp-content/uploads/Flat-Mouth-Steel-Eyebrow-Tweezer-In-Pakistan-247x307.jpg
137,post-147335,"Jade Roller Face Massager",₨ 900,-39%,₨ 550,https://ebuy.pk/product/jade-roller-face-massager/,https://ebuy.pk/wp-content/uploads/Jade-Roller-Face-Massager-Price-In-Pakistan-247x307.jpg
152,post-149189,"3 Piece Jade Rollers Set with Gua Sha","₨ 2,000",-40%,"₨ 1,200",https://ebuy.pk/product/3-piece-jade-roller-set/,https://ebuy.pk/wp-content/uploads/3-Piece-Jade-Roller-Set-Facial-Ridged-Roller-with-Gua-Sha-at-best-price-in-Pakistan-247x307.jpg
51,post-149801,"Refillable Spray Bottle",₨ 600,-28%,₨ 430,https://ebuy.pk/product/refillable-spray-bottle/,https://ebuy.pk/wp-content/uploads/Lemon-Strawberry-Shape-Water-Spray-Bottle-online-at-best-price-in-Pakistan-247x307.jpg
50,post-150900,"3 Pcs Mini Wire Brush Set",₨ 500,-40%,₨ 300,https://ebuy.pk/product/3-pcs-mini-wire-brush-set/,https://ebuy.pk/wp-content/uploads/3-Pcs-Mini-Wire-Brush-Set-online-at-best-price-in-Pakistan-247x307.jpg
145,post-15094,"Professional Body Massager","₨ 12,000",-33%,"₨ 8,000",https://ebuy.pk/product/professional-body-massager/,https://ebuy.pk/wp-content/uploads/Thrive-Body-Massager-717-Online-At-Best-Price-in-Pakistan-3-247x307.jpg
